participant_id,cue,response,response_type,semantic_category,affective_valence
P6,Baadal,Clouds,paradigmatic,taxonomic,neutral
P6,Opportunity,Mauka,paradigmatic,taxonomic,positive
P6,Cloud,Nine,encyclopedic,cultural,positive
P6,Aashirwad,Blessings,paradigmatic,taxonomic,positive
P7,Blessing,Aashirwaad,paradigmatic,taxonomic,positive
P7,Cloud,Rain,syntagmatic,perceptual,neutral
P7,Time,Hourglass,syntagmatic,functional,neutral
P7,Glasses,Lens,paradigmatic,taxonomic,neutral
P7,Mauka,Drink,encyclopedic,cultural,neutral
P7,Neighbourhood,Police,encyclopedic,cultural,neutral
P7,Salt,Dandi,encyclopedic,cultural,neutral
P7,Kutta,Billi,paradigmatic,taxonomic,neutral
P7,Samay,Time,paradigmatic,taxonomic,neutral
P7,Shyness,Jhijak,paradigmatic,emotional,neutral
P7,Dog,Fighting,syntagmatic,functional,negative
P7,Chashma,Gandhi,encyclopedic,cultural,neutral
P7,Mohalla,Halla,encyclopedic,cultural,neutral
P7,Opportunity,Chance,paradigmatic,taxonomic,positive
P7,Values,Skill,syntagmatic,functional,positive
P7,Namak,Namkeen,paradigmatic,taxonomic,neutral
P7,Aashirwad,Aata,encyclopedic,cultural,positive
P7,Sharam,Jhijak,paradigmatic,emotional,neutral
P7,Sanskar,Sushil,syntagmatic,emotional,positive
P7,Baadal,Chawn,syntagmatic,perceptual,neutral
P8,Kutta,Cat,paradigmatic,taxonomic,neutral
P8,Baadal,Aasman,syntagmatic,perceptual,neutral
P8,Blessing,God,syntagmatic,cultural,positive
P8,Mohalla,Ghar,syntagmatic,functional,neutral
P8,Time,Late,syntagmatic,perceptual,negative
P8,Aashirwad,Elders,syntagmatic,cultural,positive
P8,Chashma,Eyes,syntagmatic,functional,neutral
P8,Sanskar,Important,syntagmatic,emotional,positive
P8,Values,Human,syntagmatic,functional,positive
P8,Shyness,Sad,syntagmatic,emotional,negative
P8,Dog,Cat,paradigmatic,taxonomic,neutral
P8,Sharam,Innocent,paradigmatic,emotional,positive
P8,Samay,Time,paradigmatic,taxonomic,neutral
P8,Opportunity,Future,syntagmatic,functional,positive
P8,Mauka,Opportunity,paradigmatic,taxonomic,positive
P8,Namak,Swaad,syntagmatic,functional,positive
P8,Cloud,Water,syntagmatic,perceptual,neutral
P8,Glasses,Paani,encyclopedic,functional,neutral
P8,Salt,Food,syntagmatic,functional,neutral
P8,Neighbourhood,Mohalla,paradigmatic,taxonomic,neutral
P9,Sharam,Shy,paradigmatic,emotional,neutral
P9,Chashma,Glasses,paradigmatic,taxonomic,neutral
P9,Values,Education,syntagmatic,functional,positive
P9,Sanskar,Sanskari,paradigmatic,cultural,positive
P9,Salt,White,syntagmatic,perceptual,neutral
P9,Neighbourhood,Cluster,paradigmatic,taxonomic,neutral
P9,Mauka,Chance,paradigmatic,taxonomic,positive
P9,Cloud,Megha,paradigmatic,taxonomic,neutral
P9,Kutta,Kutti,paradigmatic,taxonomic,neutral
P9,Aashirwad,Aata,encyclopedic,cultural,positive
P9,Dog,Puppy,paradigmatic,taxonomic,positive
P9,Namak,Sea,encyclopedic,perceptual,neutral
P9,Blessing,God,syntagmatic,cultural,positive
P9,Time,Samay,paradigmatic,taxonomic,neutral
P9,Shyness,Highness,encyclopedic,cultural,neutral
P9,Opportunity,Mauka,paradigmatic,taxonomic,positive
P9,Glasses,Chashma,paradigmatic,taxonomic,neutral
P9,Baadal,Grey,syntagmatic,perceptual,neutral
P9,Mohalla,Neighborhood,paradigmatic,taxonomic,neutral
P9,Samay,Time,paradigmatic,taxonomic,neutral
P10,Values,Education,syntagmatic,functional,positive
P10,Neighbourhood,Houses,syntagmatic,functional,neutral
P10,Shyness,Non-talkative,paradigmatic,emotional,neutral
P10,Time,Pass,syntagmatic,functional,neutral
P10,Kutta,Billi,paradigmatic,taxonomic,neutral
P10,Namak,Mirch,syntagmatic,functional,neutral
P10,Blessing,Curses,paradigmatic,emotional,negative
P10,Aashirwad,Longevity,syntagmatic,functional,positive
P10,Samay,Time,paradigmatic,taxonomic,neutral
P10,Cloud,Badal,paradigmatic,taxonomic,neutral
P10,Sharam,Shame,paradigmatic,emotional,negative
P10,Opportunity,Jobs,syntagmatic,functional,positive
P10,Glasses,Sight,syntagmatic,functional,neutral
P10,Baadal,Sky,syntagmatic,perceptual,neutral
P10,Mohalla,Neighbourhood,paradigmatic,taxonomic,neutral
P10,Dog,Cat,paradigmatic,taxonomic,neutral
P10,Sanskar,Manners,paradigmatic,functional,positive
P10,Chashma,Glasses,paradigmatic,taxonomic,neutral
P10,Mauka,Cricket,encyclopedic,cultural,positive
P10,Salt,Pepper,syntagmatic,functional,neutral
P11,Values,Honesty,syntagmatic,emotional,positive
P11,Neighbourhood,Friends,syntagmatic,functional,positive
P11,Shyness,Me,encyclopedic,cultural,neutral
P11,Time,Management,syntagmatic,functional,neutral
P11,Kutta,Billi,paradigmatic,taxonomic,neutral
P11,Namak,Chini,paradigmatic,taxonomic,neutral
P11,Blessing,God,syntagmatic,cultural,positive
P11,Aashirwad,Nani,syntagmatic,cultural,positive
P11,Samay,Raina,encyclopedic,cultural,neutral
P11,Cloud,Baarish,syntagmatic,perceptual,neutral
P11,Sharam,Blush,syntagmatic,perceptual,neutral
P11,Opportunity,Wasted,syntagmatic,emotional,negative
P11,Glasses,Wine,encyclopedic,cultural,neutral
P11,Baadal,Lightning,syntagmatic,perceptual,neutral
P11,Mohalla,Dost,syntagmatic,functional,positive
P11,Dog,Cat,paradigmatic,taxonomic,neutral
P11,Sanskar,Parivar,syntagmatic,cultural,positive
P11,Chashma,Specs,paradigmatic,taxonomic,neutral
P11,Mauka,Mauka song,encyclopedic,cultural,positive
P11,Salt,Pepper,syntagmatic,functional,neutral
P12,Values,Ethics,paradigmatic,taxonomic,positive
P12,Neighbourhood,Home,syntagmatic,functional,positive
P12,Shyness,Angry,syntagmatic,emotional,negative
P12,Time,Twelve,encyclopedic,cultural,neutral
P12,Kutta,Billi,paradigmatic,taxonomic,neutral
P12,Namak,Salt,paradigmatic,taxonomic,neutral
P12,Blessing,Disguise,encyclopedic,cultural,neutral
P12,Aashirwad,Namaste,encyclopedic,cultural,positive
P12,Samay,Raina,encyclopedic,cultural,neutral
P12,Cloud,Sky,syntagmatic,perceptual,neutral
P12,Sharam,Haya,paradigmatic,emotional,neutral
P12,Opportunity,Golden,syntagmatic,emotional,positive
P12,Glasses,Specs,paradigmatic,taxonomic,neutral
P12,Baadal,Sky,syntagmatic,perceptual,neutral
P12,Mohalla,Gali,paradigmatic,taxonomic,neutral
